ngay,san_pham,danh_muc,khu_vuc,so_luong,don_gia,doanh_thu,chi_phi
2025-05-05,Cà Phê Sữa Đá,Đồ uống,Đà Nẵng,320,25000,8000000,4600000
2025-05-05,Sinh Tố Xoài,Đồ uống,Hồ Chí Minh,145,30000,4350000,2650000
2025-06-01,Cà Phê Sữa Đá,Đồ uống,Hồ Chí Minh,430,27000,11610000,6600000
2025-06-01,Trà Sữa Trân Châu,Đồ uống,Hà Nội,330,36000,11880000,7100000
2025-06-02,Cà Phê Đen,Đồ uống,Đà Nẵng,275,21000,5775000,3300000
2025-06-02,Bánh Mì Thịt,Đồ ăn,Hồ Chí Minh,470,16000,7520000,4300000
2025-06-03,Trà Đào,Đồ uống,Hồ Chí Minh,245,31000,7595000,4400000
2025-06-03,Cơm Tấm Sườn,Đồ ăn,Hà Nội,180,36000,6480000,4050000
2025-06-04,Sinh Tố Bơ,Đồ uống,Hồ Chí Minh,155,36000,5580000,3350000
2025-06-04,Bánh Mì Chảo,Đồ ăn,Đà Nẵng,140,26000,3640000,2200000
2025-06-05,Cà Phê Sữa Đá,Đồ uống,Đà Nẵng,340,27000,9180000,5250000
2025-06-05,Sinh Tố Xoài,Đồ uống,Hà Nội,125,31000,3875000,2350000
